index,frequent_ml
850,Scikit-Learn
851,Scikit-Learn
853,Xgboost
854,Fastai
855,Scikit-Learn
856,Spark MLlib
857,Scikit-Learn
858,Scikit-Learn
860,Scikit-Learn
861,Scikit-Learn
862,Keras
863,Caret
864,randomForest
865,Caret
866,Keras
868,Keras
869,Scikit-Learn
870,PyTorch
872,Scikit-Learn
874,Scikit-Learn
875,Scikit-Learn
876,Scikit-Learn
877,Scikit-Learn
878,Scikit-Learn
879,randomForest
880,Scikit-Learn
881,Scikit-Learn
882,Scikit-Learn
883,Keras
886,Scikit-Learn
887,Keras
888,Scikit-Learn
889,Caret
891,TensorFlow
893,Scikit-Learn
894,Scikit-Learn
896,Scikit-Learn
897,TensorFlow
898,Scikit-Learn
899,Scikit-Learn
900,Scikit-Learn
901,Keras
902,Keras
906,Scikit-Learn
908,TensorFlow
909,Scikit-Learn
911,TensorFlow
912,Scikit-Learn
913,Keras
914,TensorFlow
915,Scikit-Learn
916,Xgboost
917,CNTK
919,Xgboost
922,Scikit-Learn
923,Scikit-Learn
924,Caret
926,Scikit-Learn
927,TensorFlow
929,Scikit-Learn
930,Keras
931,TensorFlow
932,Scikit-Learn
933,Keras
934,Scikit-Learn
937,Keras
938,Xgboost
941,PyTorch
942,PyTorch
943,Keras
945,Scikit-Learn
949,Scikit-Learn
951,Scikit-Learn
952,Scikit-Learn
953,randomForest
955,Scikit-Learn
956,Scikit-Learn
957,Scikit-Learn
958,randomForest
960,Scikit-Learn
961,Scikit-Learn
965,Scikit-Learn
966,Keras
969,Scikit-Learn
972,Scikit-Learn
974,Keras
975,Keras
976,Scikit-Learn
977,Xgboost
978,Scikit-Learn
979,Keras
980,Scikit-Learn
981,Keras
983,randomForest
984,randomForest
985,Scikit-Learn
986,mlr
987,Keras
989,Scikit-Learn
990,Xgboost
991,lightgbm
993,Scikit-Learn
995,Scikit-Learn
996,Keras
999,Fastai
1000,Scikit-Learn
1001,Keras
1002,Scikit-Learn
1003,Other
1004,Scikit-Learn
1005,Scikit-Learn
1007,TensorFlow
1008,Caret
1009,TensorFlow
1010,Scikit-Learn
1011,Keras
1012,Scikit-Learn
1013,PyTorch
1014,Keras
1015,PyTorch
1016,TensorFlow
1019,Scikit-Learn
1020,Keras
1021,Keras
1022,Scikit-Learn
1024,Scikit-Learn
1025,Scikit-Learn
1026,Scikit-Learn
1028,Caffe
1029,PyTorch
1031,Scikit-Learn
1035,Scikit-Learn
1036,TensorFlow
1037,PyTorch
1038,TensorFlow
1039,Keras
1040,Scikit-Learn
1041,TensorFlow
1042,Keras
1043,Keras
1045,Scikit-Learn
1046,Scikit-Learn
1047,Scikit-Learn
1048,randomForest
1049,Scikit-Learn
1050,Scikit-Learn
1051,TensorFlow
1054,Keras
1055,Scikit-Learn
1056,H20
1057,mlr
1058,Scikit-Learn
1061,TensorFlow
1062,lightgbm
1063,randomForest
1064,Scikit-Learn
1065,Scikit-Learn
1066,Keras
1069,TensorFlow
1070,Scikit-Learn
1072,TensorFlow
1073,randomForest
1075,Scikit-Learn
1076,Scikit-Learn
1077,Scikit-Learn
1079,Keras
1080,Scikit-Learn
1085,Xgboost
1086,randomForest
1087,randomForest
1088,TensorFlow
1089,TensorFlow
1090,Scikit-Learn
1091,Scikit-Learn
1092,Scikit-Learn
1093,Scikit-Learn
1094,TensorFlow
1095,Caret
1096,Scikit-Learn
1097,Scikit-Learn
1098,TensorFlow
1099,randomForest
1100,Scikit-Learn
1102,Scikit-Learn
1103,Scikit-Learn
1105,Scikit-Learn
1106,Scikit-Learn
1108,Keras
1111,Scikit-Learn
1112,Scikit-Learn
1113,Scikit-Learn
1114,Scikit-Learn
1115,Keras
1116,Keras
1117,Scikit-Learn
1118,TensorFlow
1119,Scikit-Learn
1120,Scikit-Learn
1122,Scikit-Learn
1123,Scikit-Learn
1124,Scikit-Learn
1125,Scikit-Learn
1126,TensorFlow
1127,Caret
1129,Scikit-Learn
1130,Scikit-Learn
1132,Caret
1133,Xgboost
1135,TensorFlow
1137,TensorFlow
1138,Scikit-Learn
1141,Scikit-Learn
1142,Scikit-Learn
1144,Scikit-Learn
1145,Scikit-Learn
1146,Scikit-Learn
1147,Scikit-Learn
1148,Xgboost
1149,Caret
1151,Scikit-Learn
1152,Keras
1154,Scikit-Learn
1157,TensorFlow
1158,Scikit-Learn
1159,Keras
1161,Scikit-Learn
1163,Scikit-Learn
1165,Scikit-Learn
1166,Scikit-Learn
1167,Scikit-Learn
1168,Scikit-Learn
1169,Scikit-Learn
1171,TensorFlow
1172,PyTorch
1174,Scikit-Learn
1176,randomForest
1177,Scikit-Learn
1179,Keras
1181,lightgbm
1182,Spark MLlib
1184,Keras
1186,Keras
1187,Keras
1189,randomForest
1190,TensorFlow
1191,Scikit-Learn
1192,Keras
1196,TensorFlow
1198,TensorFlow
1202,Scikit-Learn
1203,Scikit-Learn
1204,Keras
1205,PyTorch
1206,TensorFlow
1207,Scikit-Learn
1208,Xgboost
1209,Xgboost
1210,Keras
1211,Scikit-Learn
1212,Other
1215,TensorFlow
1217,Scikit-Learn
1218,Xgboost
1219,Xgboost
1220,mlr
1221,TensorFlow
1222,TensorFlow
1224,Xgboost
1226,Scikit-Learn
1228,lightgbm
1229,Scikit-Learn
1230,PyTorch
1231,Scikit-Learn
1232,Scikit-Learn
1234,TensorFlow
1236,Scikit-Learn
1237,Caret
1239,Keras
1240,Keras
1241,Scikit-Learn
1243,PyTorch
1244,Scikit-Learn
1245,H20
1246,Scikit-Learn
1247,Scikit-Learn
1248,Scikit-Learn
1252,randomForest
1254,Keras
1256,Keras
1257,Keras
1259,Caffe
1260,Fastai
1261,Scikit-Learn
1263,TensorFlow
1264,Scikit-Learn
1265,randomForest
1266,Keras
1267,Scikit-Learn
1269,Xgboost
1270,Scikit-Learn
1271,TensorFlow
1273,TensorFlow
1274,TensorFlow
1275,Scikit-Learn
1276,TensorFlow
1280,Scikit-Learn
1281,TensorFlow
1282,Caret
1283,Scikit-Learn
1284,randomForest
1285,TensorFlow
1286,Scikit-Learn
1287,TensorFlow
1289,H20
1290,Keras
1292,TensorFlow
1293,Scikit-Learn
1299,Keras
1300,Scikit-Learn
1302,Scikit-Learn
1303,Scikit-Learn
1304,Scikit-Learn
1305,Keras
1306,Scikit-Learn
1307,Keras
1308,Keras
1311,Scikit-Learn
1317,TensorFlow
1320,Keras
1321,Scikit-Learn
1323,TensorFlow
1325,Scikit-Learn
1326,TensorFlow
1327,Scikit-Learn
1328,Keras
1331,Scikit-Learn
1332,Keras
1333,catboost
1335,Scikit-Learn
1336,Scikit-Learn
1340,Spark MLlib
1341,Keras
1342,Scikit-Learn
1345,Scikit-Learn
1346,TensorFlow
1347,Scikit-Learn
1348,Keras
1349,Scikit-Learn
1350,TensorFlow
1351,Scikit-Learn
1352,randomForest
1353,Scikit-Learn
1354,randomForest
1356,Scikit-Learn
1357,Keras
1358,Keras
1359,Scikit-Learn
1360,Scikit-Learn
1361,Scikit-Learn
1362,Scikit-Learn
1363,Xgboost
1365,Scikit-Learn
1366,Caret
1367,Scikit-Learn
1368,Scikit-Learn
1369,TensorFlow
1370,Keras
1371,Scikit-Learn
1372,randomForest
1373,Xgboost
1375,PyTorch
1376,TensorFlow
1381,Scikit-Learn
1382,Fastai
1383,Keras
1384,Scikit-Learn
1386,randomForest
1389,TensorFlow
1392,Prophet
1393,TensorFlow
1394,TensorFlow
1395,Keras
1396,Keras
1397,randomForest
1399,TensorFlow
1400,Fastai
1402,Spark MLlib
1404,TensorFlow
1406,Spark MLlib
1408,Scikit-Learn
1409,Scikit-Learn
1410,TensorFlow
1411,Scikit-Learn
1413,Scikit-Learn
1414,TensorFlow
1415,TensorFlow
1416,H20
1417,Scikit-Learn
1418,Scikit-Learn
1419,Scikit-Learn
1420,PyTorch
1422,TensorFlow
1423,Xgboost
1424,TensorFlow
1425,TensorFlow
1427,TensorFlow
1429,Scikit-Learn
1430,Fastai
1431,TensorFlow
1432,Caret
1434,Scikit-Learn
1439,Scikit-Learn
1440,TensorFlow
1443,Keras
1444,Scikit-Learn
1445,Scikit-Learn
1446,Keras
1447,Scikit-Learn
1448,PyTorch
1450,randomForest
1451,Scikit-Learn
1452,Scikit-Learn
1453,Keras
1454,Keras
1455,Xgboost
1456,Caret
1457,Caret
1458,Xgboost
1459,Scikit-Learn
1460,Other
1462,Scikit-Learn
1463,Other
1464,Scikit-Learn
1465,TensorFlow
1466,Xgboost
1467,Scikit-Learn
1468,Scikit-Learn
1469,Other
1471,Keras
1472,Keras
1473,Scikit-Learn
1476,Scikit-Learn
1477,Keras
1478,Scikit-Learn
1479,Scikit-Learn
1480,Scikit-Learn
1483,Scikit-Learn
1485,Scikit-Learn
1486,TensorFlow
1487,Xgboost
1488,Xgboost
1489,Scikit-Learn
1490,Keras
1491,Fastai
1493,Scikit-Learn
1494,Scikit-Learn
1495,Scikit-Learn
1497,Scikit-Learn
1498,Fastai
1499,Scikit-Learn
1500,randomForest
1501,Scikit-Learn
1503,Caret
1505,Keras
1506,Keras
1507,Scikit-Learn
1508,Scikit-Learn
1509,Scikit-Learn
1510,Scikit-Learn
1511,Keras
1512,TensorFlow
1513,Scikit-Learn
1514,Keras
1515,Scikit-Learn
1516,Scikit-Learn
1518,Scikit-Learn
1520,PyTorch
1523,Scikit-Learn
1525,Scikit-Learn
1526,Keras
1527,TensorFlow
1528,TensorFlow
1529,TensorFlow
1531,Scikit-Learn
1532,Keras
1533,Scikit-Learn
1534,Scikit-Learn
1537,Scikit-Learn
1538,Scikit-Learn
1541,Keras
1543,Scikit-Learn
1546,Xgboost
1549,Scikit-Learn
1551,Scikit-Learn
1552,TensorFlow
1553,Scikit-Learn
1554,TensorFlow
1555,Scikit-Learn
1556,TensorFlow
1557,Scikit-Learn
1559,Keras
1560,Keras
1561,Keras
1562,Keras
1563,Scikit-Learn
1564,TensorFlow
1565,Scikit-Learn
1566,TensorFlow
1569,Scikit-Learn
1570,Scikit-Learn
1571,Scikit-Learn
1572,Scikit-Learn
1573,Keras
1574,Scikit-Learn
1575,Scikit-Learn
1576,TensorFlow
1578,Scikit-Learn
1579,Scikit-Learn
1580,H20
1581,TensorFlow
1583,Scikit-Learn
1584,Scikit-Learn
1585,Caret
1586,TensorFlow
1587,TensorFlow
1588,Scikit-Learn
1589,Scikit-Learn
1590,Scikit-Learn
1591,randomForest
1593,PyTorch
1595,Scikit-Learn
1596,Scikit-Learn
1598,Keras
1599,Keras
1601,Scikit-Learn
1604,Keras
1605,Scikit-Learn
1606,mlr
1609,Xgboost
1610,Keras
1612,Scikit-Learn
1613,Spark MLlib
1616,Scikit-Learn
1618,Scikit-Learn
1620,TensorFlow
1621,randomForest
1622,TensorFlow
1624,Caret
1625,PyTorch
1626,Keras
1627,Scikit-Learn
1628,Scikit-Learn
1630,Scikit-Learn
1631,randomForest
1632,Xgboost
1633,Scikit-Learn
1636,TensorFlow
1637,Scikit-Learn
1638,TensorFlow
1639,TensorFlow
1640,Keras
1642,catboost
1643,Scikit-Learn
1644,Caret
1645,Scikit-Learn
1646,Scikit-Learn
1648,randomForest
1649,Spark MLlib
1652,Scikit-Learn
1654,Keras
1655,Scikit-Learn
1656,Scikit-Learn
1657,TensorFlow
1658,randomForest
1659,Keras
1661,TensorFlow
1662,Caret
1664,Scikit-Learn
1665,lightgbm
1666,Scikit-Learn
1667,Scikit-Learn
1670,TensorFlow
1671,TensorFlow
1672,Xgboost
1674,Scikit-Learn
1676,TensorFlow
1677,Scikit-Learn
1678,PyTorch
1679,Scikit-Learn
1680,randomForest
1681,Scikit-Learn
1682,lightgbm
